Name,Code,Category,Price,52 Weeks low,52 Weeks hi,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,Mcap,Book value
DIGI [s],6947,"Telecommunications & Media, Main Market",4.21,3.82,5.1,8666,18.31,18.2,0.08,23,4.32,228.85,52.62,32732.75,-0.040076336
CARLSBG,2836,"Consumer Products & Services, Main Market",25.48,17.38,39.26,1936,90.4,100,0.58,28.19,3.92,155.86,43.93,7790.46,-0.089928058
BAT,4162,"Consumer Products & Services, Main Market",10.84,9.26,31,3328,107.4,118,1.23,10.09,10.89,87.32,8.81,3095.15,-0.02
SIGGAS [s],5181,"Industrial Products & Services, Main Market",0.45,0.375,0.49,6222,42.95,55.7,0.55,1.05,123.78,78.09,0.82,84.38,-0.111111111
NESTLE [s],4707,"Consumer Products & Services, Main Market",138.7,120,149.9,275,266.1,280,3.66,52.12,2.02,72.7,37.9,32525.15,-0.25
HEIM,3255,"Consumer Products & Services, Main Market",22.48,17.3,31.74,1896,104.97,108,1.49,21.41,4.8,70.45,15.09,6791.16,-0.083333333
ASTRO,6399,"Telecommunications & Media, Main Market",0.825,0.705,1.61,65086,10.6,7.5,0.169,7.78,9.09,62.82,4.89,4301.97,-1.5
DLADY [s],3026,"Consumer Products & Services, Main Market",43,34,64.5,0,143.43,100,2.61,29.98,2.33,54.95,16.48,2752,-0.5
SEM,5250,"Consumer Products & Services, Main Market",1.3,1.21,1.51,2456,4.4,2.3,0.098,29.54,1.77,44.68,13.2,1603.4,#DIV/0!
SEG [s],9792,"Consumer Products & Services, Main Market",0.605,0.595,0.645,622,3.65,2.5,0.082,16.59,4.13,44.42,7.37,765.06,#DIV/0!
PINEPAC [s],1902,"Plantation, Main Market",0.285,0.14,0.545,800,59.43,,1.37,0.48,,43.38,0.21,42.69,#DIV/0!
UCHITEC [s],7100,"Industrial Products & Services, Main Market",2.71,1.7,2.9,13119,16.85,16,0.4,16.08,5.9,42.14,6.78,1222.71,#DIV/0!
ADVENTA [s],7191,"Health Care, Main Market",1.39,0.28,2.28,26506,15.96,7,0.44,8.71,5.04,36.26,3.16,212.37,76.5
CANONE [s],5105,"Industrial Products & Services, Main Market",2.64,1.6,3.7,6,316.25,6,8.942,0.83,2.27,35.37,0.3,507.28,5
PARAMON [s],1724,"Property, Main Market",0.91,0.63,1.302,2849,91.93,8.5,2.61,0.99,9.34,35.22,0.35,559.14,0.333333333
MYEG [s],138,"Technology, Main Market",1.42,0.765,1.7,231620,6.82,1.9,0.198,20.82,1.34,34.43,7.17,5120.95,0.125
WELLCAL [s],7231,"Industrial Products & Services, Main Market",0.81,0.55,1.22,4548,7.16,5.65,0.238,11.32,6.98,30.07,3.4,403.34,1.8
HUPSENG [s],5024,"Consumer Products & Services, Main Market",0.955,0.745,1.08,4978,5.14,6,0.18,18.57,6.28,28.57,5.31,764,3
TAKAFUL [s],6139,"Financial Services, Main Market",4.44,2.93,7.1,1816,44.75,20,1.59,9.92,4.5,28.14,2.79,3670.96,0.625
BURSA [s],1818,"Financial Services, Main Market",7.28,4.32,8.55,47628,25.2,20.8,0.9,28.89,2.86,28,8.09,5885.9,1
ARBB [s],7181,"Technology, Main Market",0.315,0.095,0.51,56437,10,,0.4,3.15,,25.01,0.79,115.02,0.833333333
IQZAN [s],7183,"Industrial Products & Services, Main Market",0.08,0.04,0.125,4,6.85,,0.28,1.17,,24.48,0.29,14.79,3.333333333
LITRAK [s],6645,"Transportation & Logistics, Main Market",4.19,3.3,4.97,736,50.15,25,2.07,8.35,5.97,24.23,2.02,2226.41,0.555555556
UWC [s],5292,"Technology, Main Market",3.66,0.733,4.1,28630,8.94,,0.37,40.94,,24.16,9.89,2013.73,1.9
WPRTS [s],5246,"Transportation & Logistics, Main Market",3.68,2.97,4.54,2808,17.71,13,0.733,20.78,3.53,24.16,5.02,12548.8,2.05
AMWAY [s],6351,"Consumer Products & Services, Main Market",5.06,4.5,6.16,85,30.87,27.5,1.29,16.39,5.43,23.93,3.92,831.79,1.363636364
DSONIC [s],5216,"Technology, Main Market",1.46,0.52,1.69,61898,4.47,3,0.19,32.67,2.05,23.5,7.68,1971,0.681818182
GDB [s],198,"Construction, Main Market",0.555,0.285,0.795,2167,4.45,2,0.19,12.47,3.6,23.42,2.92,346.88,2.5
DUFU [s],7233,"Industrial Products & Services, Main Market",4.94,1.55,5.3,4945,20.7,8,0.91,23.86,1.62,22.75,5.43,1300.24,0.833333333
GCB [s],5102,"Consumer Products & Services, Main Market",2.55,1.5,4.197,6870,23.29,5,1.04,10.95,1.96,22.39,2.45,2610.4,0.166666667
SCICOM,99,"Industrial Products & Services, Main Market",0.94,0.48,1.3,6299,6.31,5.5,0.29,14.89,5.85,21.77,3.24,334.13,0.791666667
BAUTO [s],5248,"Consumer Products & Services, Main Market",1.53,0.935,2.78,17836,8.64,21.25,0.404,17.71,13.89,21.38,3.79,1780.23,0.625
LIIHEN [s],7089,"Consumer Products & Services, Main Market",2.45,1.57,3.29,2050,44.97,15.5,2.15,5.45,6.33,20.92,1.14,441,0.423076923
MAXIS [s],6012,"Telecommunications & Media, Main Market",5.34,4.59,5.79,5093,18.77,20,0.9,28.45,3.75,20.86,5.93,41761.46,1
MAGNI [s],7087,"Consumer Products & Services, Main Market",2.09,1.24,2.74,4168,28.07,8.62,1.4,7.45,4.12,20.05,1.49,906.96,0.384615385
PWROOT [s],7237,"Consumer Products & Services, Main Market",2.23,1.479,2.776,599,12.32,12.5,0.62,18.11,5.61,19.86,3.6,930.26,0.192307692
GASMSIA [s],5209,"Utilities, Main Market",2.88,2.3,2.96,1070,15.68,14.1,0.8,18.37,4.9,19.6,3.6,3697.92,1.807692308
TOPGLOV [s],7113,"Health Care, Main Market",14.9,4.21,18,142382,24.31,7.5,1.29,61.29,0.5,18.84,11.55,40151.2,0.884615385
LPI,8621,"Financial Services, Main Market",13.4,9.9,16.28,158,81.11,70,4.305,16.52,5.22,18.84,3.11,5338.33,2.076923077
PADINI [s],7052,"Consumer Products & Services, Main Market",2.49,1.78,3.87,4319,22.26,11.5,1.19,11.19,4.62,18.71,2.09,1638.2,0.5
SERBADK [s],5279,"Energy, Main Market",1.6,1.02,2.954,132355,15.28,5.75,0.82,10.47,3.59,18.64,1.95,5424.57,2.5
THHEAVY [s],7206,"Energy, Main Market",0.085,0.04,0.145,13370,1.1,,0.06,7.7,,18.4,1.42,95.32,1.107142857
GTRONIC [s],7022,"Technology, Main Market",2.08,1.284,2.441,28822,7.84,7.5,0.43,26.52,3.61,18.24,4.84,1392.45,1.392857143
FRONTKN [s],128,"Technology, Main Market",2.45,0.985,3.06,23400,6.72,2.5,0.37,36.47,1.02,18.16,6.62,2580.92,0.535714286
SUNCON [s],5263,"Construction, Main Market",1.91,1.25,2.2,654,8.87,7,0.5,21.54,3.66,17.74,3.82,2469.44,3.142857143
PENTA [s],7160,"Technology, Main Market",5.31,2.37,5.58,44781,16.9,,0.955,31.42,,17.7,5.56,2521.6,1.714285714
HARTA [s],5168,"Health Care, Main Market",11.94,4.8,13.5,64700,12.83,8.2,0.75,93.04,0.69,17.11,15.92,40452.79,1.214285714
BJTOTO,1562,"Consumer Products & Services, Main Market",2.19,1.94,2.82,6067,10.08,16,0.59,21.74,7.31,17.08,3.71,2958.76,1
MI [s],5286,"Technology, Main Market",2.49,1.02,3.11,25047,8.35,4,0.49,29.84,1.61,17.03,5.08,1867.5,1.866666667
FPGROUP [s],5277,"Industrial Products & Services, Main Market",0.765,0.305,1.01,41364,2.86,1.2,0.169,26.77,1.57,16.89,4.52,414.88,0.833333333
DAYANG [s],5141,"Energy, Main Market",1.26,0.71,3.01,45102,23.53,,1.41,5.35,,16.69,0.89,1337.23,2.733333333
MBWORLD [s],7189,"Property, Main Market",0.99,0.89,1.7,1095,29.7,10,1.82,3.33,10.1,16.32,0.54,155.8,1.633333333
KPOWER [s],7130,"Consumer Products & Services, Main Market",2.29,0.735,3.11,8016,9.29,,0.57,24.64,,16.3,4.02,191.82,3.6
CARIMIN [s],5257,"Energy, Main Market",0.645,0.325,1.47,22037,11.58,3,0.718,5.57,4.65,16.13,0.9,150.85,8.866666667
SERNKOU [s],7180,"Consumer Products & Services, Main Market",1.29,0.44,1.35,6431,6.87,,0.43,18.77,,15.98,3,329.34,0.34375
ASB,1481,"Consumer Products & Services, Main Market",0.14,0.07,0.24,26256,8.13,0.35,0.51,1.72,2.5,15.94,0.27,130.09,1.75
F&N [s],3689,"Consumer Products & Services, Main Market",32,24.12,36,378,112.74,60,7.15,28.38,1.88,15.77,4.48,11736.91,1.21875
SCIENTX [s],4731,"Industrial Products & Services, Main Market",8.91,5.96,9.87,773,73.94,20,4.72,12.05,2.24,15.67,1.89,4596.46,0.4375
HAPSENG,3034,"Industrial Products & Services, Main Market",8.65,6.7,10.26,2824,46.8,35,3,18.48,4.05,15.6,2.88,21535.75,0.15625
KOSSAN [s],7153,"Health Care, Main Market",7.95,3.93,9.45,22211,18.05,6,1.16,44.04,0.75,15.55,6.85,10167.54,3
KOTRA [s],2,"Health Care, Main Market",2.96,1.6,3.35,46,19.37,7.4,1.25,15.28,2.5,15.5,2.37,430.59,1.529411765
HOMERIZ [s],5160,"Consumer Products & Services, Main Market",0.535,0.355,0.75,467,8.46,3,0.55,6.32,5.61,15.39,0.97,160.51,3.058823529
MATRIX [s],5236,"Property, Main Market",1.75,1.24,1.99,1174,29.31,12.75,1.91,5.97,7.29,15.34,0.92,1459.88,1.911764706
AEONCR,5139,"Financial Services, Main Market",9.36,7.7,17,4141,92.14,36.25,6.01,10.16,3.87,15.33,1.56,2374.17,2.323529412
VITROX [s],97,"Technology, Main Market",9.25,6.09,9.57,2059,16.37,4.3,1.069,56.52,0.46,15.31,8.65,4357.85,1.388888889
RCECAP,9296,"Financial Services, Main Market",1.89,1.22,1.97,4158,29.34,11,1.92,6.44,5.82,15.28,0.98,712.22,2.666666667
KKB [s],9466,"Industrial Products & Services, Main Market",1.65,1.26,2.37,1133,20.16,4,1.33,8.18,2.42,15.16,1.24,425.36,1.222222222
RGB,37,"Consumer Products & Services, Main Market",0.145,0.1,0.225,54255,2.57,0.3,0.17,5.65,2.07,15.11,0.85,224.5,1.194444444
DIALOG [s],7277,"Energy, Main Market",3.63,2.7,3.99,25644,10.89,3.8,0.722,33.33,1.05,15.08,5.03,20479.16,1.111111111
HLIND [s],3301,"Consumer Products & Services, Main Market",7.99,6.04,11.6,785,85.05,42,5.67,9.39,5.26,15,1.41,2619.95,0.916666667
DAIBOCI [s],8125,"Industrial Products & Services, Main Market",2.47,1.45,2.6,409,11.02,2,0.75,22.41,0.81,14.7,3.29,809.91,0.416666667
ATAIMS [s],8176,"Industrial Products & Services, Main Market",1.28,0.665,1.85,3372,8.05,3.29,0.55,15.9,2.57,14.63,2.33,1541.6,0.888888889
DBE [s],7179,"Consumer Products & Services, Main Market",0.03,0.02,0.035,12427,0.43,,0.03,6.97,,14.34,1,85.12,0.894736842
MASTER [s],7029,"Industrial Products & Services, Main Market",1.8,0.605,3.2,8025,28.63,4,2,6.29,2.22,14.32,0.9,98.32,1.157894737
SAMCHEM,5147,"Industrial Products & Services, Main Market",0.66,0.35,0.89,9950,8.41,,0.59,7.84,,14.26,1.12,179.52,1.078947368
INTA [s],192,"Construction, Main Market",0.215,0.15,0.31,2668,3.64,1,0.256,5.9,4.65,14.23,0.84,115.08,0.131578947
ECM,2143,"Financial Services, Main Market",0.21,0.14,0.295,0,5.81,0,0.41,3.61,0,14.18,0.51,100.78,2.263157895
PESTECH [s],5219,"Industrial Products & Services, Main Market",0.915,0.6,1.53,2822,10.89,,0.768,8.4,,14.18,1.19,699.33,1.947368421
OMESTI [s],9008,"Technology, Main Market",0.515,0.32,0.715,16386,4.94,,0.348,10.43,,14.16,1.48,273.38,1.842105263
KGB [s],151,"Industrial Products & Services, Main Market",1.01,0.59,1.43,3146,7.2,2,0.511,14.04,1.98,14.08,1.98,325.62,1.105263158
MAYBULK,5077,"Transportation & Logistics, Main Market",0.4,0.18,0.785,46806,5.11,,0.364,7.83,,14.02,1.1,400,1.05
